Eletrodo #1 (COL): X=-16.92, Y=-120.36, Z=56.07
Eletrodo #2 (LA): X=170.14, Y=-41.50, Z=63.88
Eletrodo #3 (RA): X=-203.98, Y=-41.50, Z=63.88
Eletrodo #4 (LL): X=120.14, Y=-41.50, Z=-536.12
Eletrodo #5 (V1): X=-32.30, Y=-124.30, Z=35.52
Eletrodo #6 (V2): X=14.40, Y=-126.61, Z=32.62
Eletrodo #7 (V4): X=88.64, Y=-114.88, Z=8.35
Eletrodo #8 (V3): X=49.99, Y=-127.44, Z=-0.06
Eletrodo #9 (V5): X=127.92, Y=-84.80, Z=4.64
Eletrodo #10 (V6): X=161.59, Y=-41.09, Z=-4.38
